x_m,T_hot_C,T_cold_C,cold_superheat_C,H_hot_Jkg,H_cold_Jkg,quality,cold_phase
2.5500000000000003,500.15190289486725,263.94072195416504,0.0,3311223.917051311,1913936.8036008752,0.4631081399848123,boiling
2.6,498.8940229488702,263.94072195416504,0.0,3307579.627347574,1895430.2860958728,0.45182067576509277,boiling
2.6500000000000004,497.6453682079998,263.94072195416504,0.0,3303954.043290975,1876827.230711749,0.44047433132351976,boiling
2.7,496.4058741982327,263.94072195416504,0.0,3300347.017397322,1858126.869841344,0.4290686384824174,boiling
2.75,495.17547678909443,263.94072195416504,0.0,3296758.4033651673,1839328.4297161233,0.4176031253061748,boiling
2.8000000000000003,493.9541121933346,263.94072195416504,0.0,3293188.0560676134,1820431.1303646176,0.40607731607589725,boiling
2.85,492.7417169665699,263.94072195416504,0.0,3289635.831544144,1801434.1855707904,0.39449073126401407,boiling
2.9000000000000004,491.5382280069207,263.94072195416504,0.0,3286101.586992474,1782336.8028323404,0.3828428875088463,boiling
2.95,490.34358255462666,263.94072195416504,0.0,3282585.1807604195,1763138.183318941,0.3711332975891367,boiling
3.0,489.15771819164206,263.94072195416504,0.0,3279086.4723377954,1743837.5218304235,0.3593614703985444,boiling
3.0500000000000003,487.9805728412206,263.94072195416504,0.0,3275605.32234833,1724434.006754908,0.3475269109201083,boiling
3.1,486.812084767481,263.94072195416504,0.0,3272141.5925416066,1704926.8200268846,0.3356291202006801,boiling
3.1500000000000004,485.65219257495676,263.94072195416504,0.0,3268695.145785027,1685315.1370852522,0.32366759532533157,boiling
3.2,484.50083520813337,263.94072195416504,0.0,3265265.8460558048,1665598.1268313194,0.311641829391738,boiling
3.25,483.3579519509649,263.94072195416504,0.0,3261853.5584329762,1645774.9515867706,0.2995513114845416,boiling
3.3000000000000003,482.2234824263853,263.94072195416504,0.0,3258458.149089446,1625844.7670516043,0.28739552664969686,boiling
3.35,481.0973665957953,263.94072195416504,0.0,3255079.4852840505,1605806.7222620482,0.2751739558688022,boiling
3.4000000000000004,479.9795447585419,263.94072195416504,0.0,3251717.4353536563,1585659.9595484554,0.26288607603342046,boiling
3.45,478.8699575513824,263.94072195416504,0.0,3248371.8687052806,1565403.6144931884,0.25053135991939113,boiling
3.5,477.7685459479321,263.94072195416504,0.0,3245042.655808242,1545036.8158884957,0.23810927616113875,boiling
3.5500000000000003,476.6752512581048,263.94072195416504,0.0,3241729.66818634,1524558.6856943849,0.22561928922597904,boiling
3.6,475.5900151275338,263.94072195416504,0.0,3238432.778410062,1503968.338996502,0.2130608593884286,boiling
3.6500000000000004,474.5127795369855,263.94072195416504,0.0,3235151.8600888234,1483264.8839640184,0.200433442704519,boiling
3.7,473.44348680175756,263.94072195416504,0.0,3231886.7878632317,1462447.421807532,0.18773649098612077,boiling
3.75,472.38207957106704,263.94072195416504,0.0,3228637.4373973873,1441515.046736992,0.1749694517752804,boiling
3.8000000000000003,471.32850082742107,263.94072195416504,0.0,3225403.685371211,1420466.845919648,0.1621317683185726,boiling
3.85,470.28269388598426,263.94072195416504,0.0,3222185.4094728036,1399301.8994380333,0.149222879541474,boiling
3.9000000000000004,469.2446023939292,263.94072195416504,0.0,3218982.4883908383,1378019.2802479875,0.13624222002275987,boiling
3.95,468.2141703297734,263.94072195416504,0.0,3215794.8018069845,1356618.0541367226,0.12318921996892834,boiling
4.0,467.1913420027115,263.94072195416504,0.0,3212622.230388362,1335097.2796809436,0.11006330518865708,boiling
4.05,466.176062051931,263.94072195416504,0.0,3209464.655780032,1313456.008205024,0.09686389706729387,boiling
4.1000000000000005,465.168275445919,263.94072195416504,0.0,3206321.960597516,1291693.2837392483,0.0835904125413878,boiling
4.15,464.16792748175976,263.94072195416504,0.0,3203194.0284193545,1269808.1429781236,0.0702422640732631,boiling
4.2,463.1749637844167,263.94072195416504,0.0,3200080.7437796914,1247799.6152387704,0.05681885962564048,boiling
4.25,462.18933030601227,263.94072195416504,0.0,3196981.9921609,1225666.7224193963,0.04331960263630987,boiling
4.3,461.210973325087,263.94072195416504,0.0,3193897.659986239,1203408.4789578628,0.029743891992859296,boiling
4.3500000000000005,460.2398394458578,263.94072195416504,0.0,3190827.6346125435,1181023.8917903488,0.016091122007463,boiling
4.4,459.2758755974613,263.94072195416504,0.0,3187771.8043229524,1158511.9603101194,0.0023606823917339983,boiling
4.45,458.3190290331862,260.14538538034003,0.0,3184730.058319669,1135629.7010067808,0.0,subcooled
4.5,457.3692473297002,255.43690751672113,0.0,3181702.286716759,1112317.8871425109,0.0,subcooled
4.55,456.42647838626294,250.5810321141172,0.0,3178688.380532982,1088566.4704222432,0.0,subcooled
4.6000000000000005,455.490670423932,245.57599323547697,0.0,3175688.2316846596,1064365.8877895079,0.0,subcooled
4.65,454.56177198475825,240.4201071708194,0.0,3172701.732978582,1039707.1371838057,0.0,subcooled
4.7,453.6397319309707,235.11180966161868,0.0,3169728.7781049456,1014581.8678250378,0.0,subcooled
4.75,452.7244994441529,229.64969658371223,0.0,3166769.261630332,988982.4864061995,0.0,subcooled
4.800000000000001,451.81602402441183,224.03256863951384,0.0,3163823.0789907216,962902.2807958296,0.0,subcooled
4.8500000000000005,450.91425548953396,218.25948062881002,0.0,3160890.126484544,936335.5630745424,0.0,subcooled
4.9,450.01914397413555,212.32979588832853,0.0,3157970.301265765,909277.8339609632,0.0,subcooled
4.95,449.13063992879927,206.24324651294518,0.0,3155063.501337012,881725.970934265,0.0,subcooled
5.0,448.2486941192079,200.0000000000067,0.0,3152169.6255427357,853678.4426681934,0.0,subcooled
