cell,x_hot_mid_m,x_cold_mid_m,h_hot_W_m2K,h_cold_W_m2K,U_W_m2K,q_W,q_flux_W_m2,T_wall_hot_side_C,T_wall_cold_side_C,T_wall_mean_C,dP_hot_Pa,dpdz_cold_Pa_m,dP_cold_cell_Pa,cold_cumulative_dP_kPa,f_hot,f_cold,Re_hot,Re_cold,Re_cold_liquid,Re_cold_vapor,phi_f2_cold,X_cold,cold_two_phase_dp_model,cold_correlation,cold_temperature_change
40,2.0250000000000004,2.975,17557.93134708085,72956.0343377847,5110.875249246726,115.46493364383151,61256.049810644916,289.63869732974956,281.98169110341894,285.81019421658425,89.77648763734611,42136.59590472979,2106.8297952364896,86.3102531389119,0.015131008073553895,0.009687184174968423,191194.08279368017,1138035.1402616345,1138035.1402616345,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
41,2.075,2.9250000000000003,17554.417093127027,72959.3769387346,5110.593841184513,113.97641970827053,60466.36864162591,289.5506806835791,281.99238460337585,285.7715326434775,89.75819582721527,42138.03215257832,2106.9016076289163,88.41715474654082,0.015133191490871308,0.009686926147534908,191083.76471983513,1138156.3989621904,1138156.3989621904,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
42,2.125,2.875,17550.95095300056,72962.68143970493,5110.316235566622,112.50666766403376,59686.640965093575,289.463762833719,282.00293271308226,285.7333477734006,89.74017539253249,42139.451763699544,2106.972588184977,90.52412733472579,0.015135347136541782,0.009686671237469583,190974.92786374674,1138276.2085303678,1138276.2085303678,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
43,2.175,2.825,17547.532217942797,72965.94830084436,5110.042378123855,111.0554539590273,58916.74818297864,289.3779309094964,282.01333738662413,285.6956341480603,89.72242194000604,42140.8549354535,2107.042746772675,92.63117008149847,0.0151374753547188,0.009686419405279206,190867.5518057471,1138394.586956047,1138394.586956047,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
44,2.225,2.7750000000000004,17544.160191603558,72969.17797728814,5109.772215499254,109.62255732484759,58156.57290874717,289.2931721649328,282.0236005513394,285.6583863581361,89.70493115651038,42142.24186316212,2107.112093158106,94.73828217465658,0.015139576485447632,0.009686170611947278,190761.61642507487,1138511.552021396,1138511.552021396,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
45,2.2750000000000004,2.725,17540.834189749337,72972.37091919938,5109.505695227245,108.20775876536362,57405.998961343284,289.2094739783689,282.033724108201,285.62159904328496,89.68769880740516,42143.612740122044,2107.180637006102,96.84546281166267,0.015141650864713885,0.009685924818928895,190657.10189489034,1138627.121302858,1138627.121302858,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
46,2.325,2.6750000000000003,17537.553539981145,72975.52757180826,5109.2427657134485,106.81084154500722,56664.91135897691,289.12682385205767,282.0437099321855,285.5852668921216,89.6707207348937,42144.967757617276,2107.248387880864,98.95271119954353,0.015143698824491405,0.009685681988145773,190553.988677391,1138741.31217308,1138741.31217308,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
47,2.375,2.625,17534.317581461466,72978.64837545122,5108.983376215142,105.43159117677229,55933.19631275722,289.04520941173416,282.0535598726394,285.54938464218674,89.65399285642208,42146.30710493127,2107.3153552465637,101.0600265547901,0.015145720692789364,0.009685442081981332,190452.25751903618,1138854.1418028146,1138854.1418028146,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
48,2.4250000000000003,2.575,17531.1256646496,72981.73376561483,5108.727476822348,104.069795409545,55210.741219971074,288.9646184061543,282.0632757536579,285.5139470799061,89.63751116311694,42147.630969361846,2107.381548468092,103.1674081032582,0.015147716793698644,0.009685205063275438,190351.88944587152,1138965.6271629985,1138965.6271629985,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
49,2.475,2.5250000000000004,17527.97715104519,72984.78417297163,5108.475018439453,102.7252442155476,54497.43465742176,288.8850387065976,282.07285937441986,285.4789490405087,89.62127171825881,42148.93953623234,2107.4469768116173,105.27485508006981,0.015149687447437775,0.009684970895319812,190252.8657589392,1139075.7850265247,1139075.7850265247,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
