position_m,T_hot_K,T_hot_C,T_cold_K,T_cold_C,h_cold_J_kg,x_cold
3.35,560.7561896364282,287.6061896364282,534.8293659562992,261.6793659562992,1143288.9792702612,0.0
3.4000000000000004,560.6476915399405,287.49769153994055,535.3940267334193,262.24402673341933,1146116.7423077496,0.0
3.45,560.5419356553324,287.3919356553324,535.9433293369624,262.7933293369624,1148871.998192263,0.0
3.5,560.4388519745515,287.28885197455156,536.4777151778101,263.3277151778101,1151556.651983637,0.0
3.5500000000000003,560.3383722784309,287.18837227843096,536.9976121984404,263.8476121984404,1154172.5571609954,0.0
3.6,560.2404300934039,287.09043009340394,537.090721954165,263.94072195416504,1156721.5170387672,0.0012686582247148407
3.6500000000000004,560.1104795997163,286.96047959971634,537.090721954165,263.94072195416504,1160102.3581411338,0.003330695178193782
3.7,559.9812622349375,286.8312622349375,537.090721954165,263.94072195416504,1163462.6261659681,0.0053801842346158195
3.75,559.8527744153442,286.70277441534427,537.090721954165,263.94072195416504,1166802.4441525708,0.007417200437905464
3.8000000000000003,559.7250125635572,286.57501256355727,537.090721954165,263.94072195416504,1170121.9344958935,0.009441818438987089
3.85,559.5979731087596,286.4479731087596,537.090721954165,263.94072195416504,1173421.218948208,0.011454112496802693
3.9000000000000004,559.4716524869096,286.32165248690967,537.090721954165,263.94072195416504,1176700.4186208015,0.013454156479346153
3.95,559.3460471409488,286.19604714094885,537.090721954165,263.94072195416504,1179959.653985703,0.015442023864715911
4.0,559.2211535210039,286.0711535210039,537.090721954165,263.94072195416504,1183199.0448774355,0.017417787742184165
4.05,559.0969680845838,285.9469680845838,537.090721954165,263.94072195416504,1186418.7104947967,0.019381520813282087
4.1000000000000005,558.9734872967722,285.8234872967722,537.090721954165,263.94072195416504,1189618.7694026625,0.02133329539290066
4.15,558.8507076304143,285.7007076304143,537.090721954165,263.94072195416504,1192799.3395338196,0.023273183410408002
4.2,558.728625566299,285.578625566299,537.090721954165,263.94072195416504,1195960.5381908198,0.025201256410780453
4.25,558.6072375933365,285.4572375933366,537.090721954165,263.94072195416504,1199102.4820478593,0.027117585555748728
4.3,558.4865402087307,285.33654020873075,537.090721954165,263.94072195416504,1202225.2871526808,0.02902224162495796
4.3500000000000005,558.3665299181473,285.21652991814733,537.090721954165,263.94072195416504,1205329.0689284978,0.030915295017141697
4.4,558.2472032358772,285.09720323587726,537.090721954165,263.94072195416504,1208413.942175941,0.03279681575130864
4.45,558.1285566849958,284.97855668499585,537.090721954165,263.94072195416504,1211480.021075025,0.03466687346794235
4.5,558.0105867975175,284.8605867975175,537.090721954165,263.94072195416504,1214527.4191871358,0.03652553743021368
4.55,557.8932901145457,284.74329011454574,537.090721954165,263.94072195416504,1217556.2494570382,0.03837287652520476
4.6000000000000005,557.7766631864195,284.6266631864195,537.090721954165,263.94072195416504,1220566.624214902,0.04020895926514489
4.65,557.6607025728551,284.51070257285517,537.090721954165,263.94072195416504,1223558.6551783467,0.04203385378865777
4.7,557.5454048430846,284.39540484308463,537.090721954165,263.94072195416504,1226532.453454503,0.04384762786201901
4.75,557.4307665759887,284.28076657598876,537.090721954165,263.94072195416504,1229488.1295420942,0.04565034888042494
4.800000000000001,557.316784360228,284.166784360228,537.090721954165,263.94072195416504,1232425.7933335307,0.047442083869271
4.8500000000000005,557.2034547943682,284.05345479436824,537.090721954165,263.94072195416504,1235345.5541170235,0.049222899485440126
4.9,557.0907744870033,283.9407744870033,537.090721954165,263.94072195416504,1238247.5205787118,0.05099286201860059
4.95,556.9787400568737,283.8287400568737,537.090721954165,263.94072195416504,1241131.8008048052,0.05275203739251277
5.0,556.8673481329818,283.7173481329818,537.090721954165,263.94072195416504,1243998.5022837417,0.05450049116634494
